User Query,Bot Response,Class
how close does the â€˜tap/ waveâ€™ have to be to the reader,you need to touch the reader with the card or bring it close to the terminal screens (within 4 cms),cards
how do i know if an atm will accept my regalia forexplus card,look out for the mastercard logo.,cards
how does regalia forexplus card work,"your regalia forexplus card will be activated with the required currencies within 5 to 6 hours from the bank getting the clear funds from you. once active, the card can be used at any international location for making payments at pos terminals or to withdraw cash at atms. (usage of the card is not allowed in india, nepal and bhutan.) regalia forexplus card has a chip & a radio frequency antenna embedded. when the contactless card is tapped/ waved against the terminal enabled for contactless payments the card transmits payment details wirelessly, eliminating the need to insert it. account details are communicated to the reader and then processed through the secure mastercard acceptance network in the usual way regalia forexplus card works just like any debit / credit card for making payments at merchant establishments that have an electronic terminal. the transaction amount is deducted from available balance on the regalia forexplus card. regalia forexplus card is accepted at all merchant establishments displaying the mastercard symbol. the card can be used to withdraw cash at all mastercard atms worldwide. irrespective of the currency loaded on the card, the cash will be dispensed based on the currencies supported at the atms. please note that you can select /change your atm pin with the help of prepaid netbanking facility for regalia forexplus cards.",cards
how is my reward calculated,"the participating rewarding merchant contributes a reward that is calculated using the total purchase price, including taxes, less credits for returns or cancellations, for qualifying purchases.",cards
how many days in advance can i purchase foreign exchange,you can purchase foreign exchange up to 180 days in advance from the date of departure.,cards
what is the regalia forexplus card,"regalia forexplus card is specially designed considering the requirement for valued customer of the bank who are frequent visitors abroad. this card ensures the convenience, safety & cost effectiveness while using the card. you need not have to carry multiple currencies in various wallets nor you need to swap the funds within wallets while travelling to another country. this card is issued only in one currency and comes with exclusive feature of zero cross currency conversion charges, â€˜thanks againâ€™ reward program, atm access fee waiver, & complimentary lounge access. hence you are free to transact in any currency as per your wish. this card is an embedded chip based prepaid forex card introduced in partnership with mastercard international. this card gives you the freedom to shop anywhere in the world and provides access to the currency of your destination at competitive market rates. it can be used at all mastercard affiliated atms and merchant establishments worldwide. this card cannot be used for making payments in foreign currencies in india, nepal or bhutan. this card also comes with general purpose reloadable card wallet (gpr wallet) in inr currency where you can get your regalia forexplus card encashed & use the same in india for atm cash withdrawals & at merchant outlets or at ecom merchants for purchases in inr currency.",cards
"how much is the service tax on cross currency conversion, applicable at the time of load, reload and refund","following are the currency conversion service tax slabs applicable at the time of load, reload and refund. for more details on other charges applicable on regalia forexplus card refer section fees and charges buy and sell forex currencyservice tax amount up to rs. 1 lakh 0.15% of the gross value or rs. 37.5/- whichever is higher from rs. 1 lakh to rs 10 lakhs rs. 150 plus 0.075% of the amount exceeding rs. 1 lakh from rs. 10 lakhs and above rs. 825 plus 0.015% of the amount exceeding rs. 10 lakhs, subject to a maximum of rs. 7500 (including swachh bharat cess and krishi kalyan cess as applicable)",cards
are there any transactions for which this card should not be used,"yes, your regalia forexplus card should not be used towards temporary charge blocks - e.g. paying deposits at hotels, hiring of cars etc. in case you have paid these deposits using regalia forexplus card and the hotel/car rental agency etc. settles the transaction for an amount lesser than the amount blocked or you make final payment through any different mode, the balance amount will get credited into your account only after 30 days from the transaction date. note: the bank reserves the right to charge the card holder for any unauthorized amounts.",cards
can i issue cheques to load the regalia forexplus card,"you can load regalia forexplus card by issuance of cheque against the amount to be loaded and charges as applicable. however, cards will be loaded post realisation of the cheque deposited by you. the exchange rate applicable will be for the day on which funds are realized and card is activated.",cards
can i load multiple currencies on one regalia forexplus card,"no. your regalia forexplus card can only be loaded in usd currency. as a feature of the card, no cross currency conversion charges will be levied for using the card in any currency other than usd. your transaction value will get converted in usd currency @ rate applied by mastercard. no additional cost will be levied.",cards
can i load regalia forexplus card by making payment in cash,"no, regalia forexplus card cannot be loaded against payment of cash.",cards
can i login to check my account,"you may check your accrued awards by logging in on the website or mobile app. however, please be aware that it generally takes up to 1-3 days for the points earned to reflect in your thanks again membership account and 2-3 weeks for your accrued awards to be posted to your member statement with your participating reward provider.",cards
can i redeem my reward points abroad,no. you cannot redeem â€˜thanks againâ€™ reward point abroad. you need to redeem the same within options available in india only.,cards
can i use the card to pay in any currency,"yes, the card is accepted for payment in any currency apart from those loaded on the card. no cross currency conversion charges will be applicable while processing such transactions. - exchange rate used will be the mastercard wholesale exchange rate prevailing at the time of the transaction. - exchange rate used will be the midrate prevailing at the time of the transaction.",cards
can i use the dcc/ mcc option at the time of transaction,"whenever regalia forexplus cardholder opts for dcc/mcc option on dcc/mcc enabled pos/atm terminals, his/her transaction passes through cross currency transactions twice. it is not advisable for a forexplus cardholder to opt for dcc/mcc while using forexplus card for making payments. please note that every cross currency transaction attracts currency conversion charges at applicable rates. apart from this, the cardholder will also get penalised due to fluctuation in currency conversion rate.",cards
can the value of the card be topped up,"yes, your regalia forexplus card can be reloaded multiple times in future till the card gets expired. -existing bank customers can reload their regalia forexplus card through m&n  bank netbanking / mobile banking by selecting reload forex card under the option of cards tab. -alternatively, existing customers can also place in a request to reload the card through m&n  bank phone banking service or prepaid netbanking.",cards
do i need to activate regalia forexplus card for ecommerce transactions,your regalia forexplus card is pre-activated to perform ecommerce transactions once your card is loaded with the forex currency required.,cards
how secure is making payment through regalia forexplus card,much more secure than carrying cash. regalia forexplus card uses the same secure technology as chip & pin so you can feel totally confident when you are using it to pay. our technology uses the chip on your card to generate unique cryptograms and digital signatures to protect your payments.,cards
how to set prepaid netbanking login user id / password for the first time,"you may have received ipin or activation code in the kit provided to you. the activation code will be printed on the card mailer below the card whereas the ipin will be printed on the pin mailer along with atm pin. the activation code / ipin is required to set your netbanking password for your regalia forexplus card for the first time. following steps should be followed for setting netbanking user id / password for the first time using activation code / ipin: -visit m&n  bank website and select prepaid netbanking -enter the card number in user id/card number field and the activation code / ipin (mentioned in the pin mailer) in the password field. -input user id of your choice for future login purpose -select the secret question from a dropdown menu and provide the answer -mention the new password and reconfirm the same -with the new user id and password, you can then login to access your card account",cards
how to use the card at contactless terminals,"1. look for mastercard paypass mark and contactless logo at the point of sale terminal machine at merchant outlet 2. check the transaction amount displayed on the machine screen and tap/ wave your contactless regalia forexplus card from a 4 cm range 3. enter your 4-digit atm pin on the machine, if prompted 4. a green light will signal indicating that the transaction is complete",cards
how will i know if the transaction is successful,"you will receive a charge slip from the merchant, and also receive an emailer/ sms on registered contact details once the transaction is successful",cards
"i'm not a traveller, can i still benefit from the regalia forexplus card","the regalia forexplus card is only for travellers, and cannot be issued to non-travellers.",cards
is regalia forexplus card enabled for mastercard secure pass,"yes, regalia forexplus card offered on mastercard platform are pre-enabled for mastercard secure pass that allows you to securely perform ecommerce transactions. following are the steps to perform ecommerce transaction with mastercard secure pass participating merchants: - select the goods or services you want from an online store and proceed to the payment page. - enter your regalia forexplus card number and the online store will connect with m&n  bank to check whether your card is secured with mastercard secure pass. - to validate the transaction, you can either select to enter your prepaid netbanking password (used for login to prepaid netbanking) or select receiving otp (one time password) on your registered mobile number and m&n  bank will then confirm your identity to the merchant. - your payment is authorized and your order is placed.",cards
what documents should i submit when i purchase the regalia forexplus card,"m&n  bank savings / current account holders need to just submit completed application form and copy of self-attested valid passport (or any other documentation as mandated under prevalent lrs guidelines). if you don't have m&n  bank savings / current account, you need to submit completed application form, copy of self-attested valid passport and copy of self-attested ticket or visa (or any other documentation as mandated under prevalent lrs guidelines).",cards
what does dcc/ mcc stand for,dcc stands for dynamic currency conversion whereas mcc stands for multiple currency conversion. dcc / mcc at atm / pos gives the cardholder an option to initiate a transaction in the currency of his choice. it also assists the cardholder to know the exact transaction value in the currency selected at the time of transaction.,cards
what if i already earn rewards with my card,"if you register a reward card that already earns miles, points, or cash back, the rewards that you earn via thanks again will be awarded in addition to the rewards that you already may earn.",cards
what if i forget my prepaid netbanking login password,"if you have forgotten the password, then the same can be changed by selecting the option of forgot password available on the prepaid netbanking login page.",cards
what is the maximum value for which the card can be used,"there is no limit imposed on the usage of regalia forexplus card. you can withdraw/utilise any amount, upto the value loaded on regalia forexplus card at any atm/pos. however, there are some atms service providers which have put in per day / per transaction limit towards cash dispense which cannot be changed by the bank. in such cases the cardholder might need to do multiple transactions if he wants to withdraw any amount higher than that allowed in one transaction.",cards
what options should i choose to withdraw cash from the atm,"generally, the options available at the atm for cash withdrawal are checking, credit, and savings. you should choose the checking/current option. in case the checking /current option is not available, you should select the credit option.",cards
what should i do and whom to contact if my card is lost,"in case your card gets lost or stolen, all you have to do is call m&n  bank phone banking immediately and report the loss of your card. this facility is available 24 hrs on all days. the card can also be hotlisted using our prepaid card netbanking facility on www.m&n bank.com",cards
can i use e-monies neft for foreign remittances,this is a service designed only for remitting indian rupees within india.,fundstransfer
is the e-monies neft system better than the existing rbi-eft system,"e-monies neft has no restrictions, because itâ€™s based on a centralized network. thatâ€™s not the case for the rbi-eft system, which is confined to just 15 centres.",fundstransfer
what information is required to use the e-monies neft service,"to use this service, you should provide the beneficiary details (name and account number), and the name and ifsc of the beneficiary bank branch.",fundstransfer
"if the money is not credited to the beneficiaryâ€™s account while using the e-monies neft service, will i get it back",your funds will be returned to your account if they are not credited.,fundstransfer
how does the e-monies neft service differ from rgts and eft,"e-monies neft is an electronic payment system, used to transfer funds to any part of india. it works on â€˜net settlementâ€™, unlike rtgs that works on â€˜gross settlementâ€™, and eft which is restricted to only 15 centres.",fundstransfer
what are the charges for the e-monies national electronic funds transfer service,"neft transactions on netbanking are charged as below: amounts up to rs. 10,000 - rs.2.5 (exclusive of taxes) per transaction amounts from rs.10,001 to rs.1 lakh - rs. 5 (exclusive of taxes) per transaction amounts above rs. 1 lakh up to rs. 2 lakh - rs. 15 (exclusive of taxes) per transactionamounts above rs.2 lakh â€“ rs.25 (exclusive of taxes) per transaction view more",fundstransfer
how do i check the ifsc of the receiving branch,just ask your beneficiary to get the ifsc from his or her branch. they can also find it in their cheque book - the ifsc is in the cheque leaf.,fundstransfer
how is rtgs different from national electronic funds transfer (neft),"neft is an electronic fund transfer system that operates on a deferred net settlement (dns) basis, which settles transactions in batches. in dns, the settlement takes place at a definite time and all transactions are held up till that instant. any transaction initiated after a designated settlement time will have to wait till the next designated settlement time. rtgs is different because transactions are processed continuously. view more",fundstransfer
what is rtgs funds transfer,"'rtgs' stands for 'real time gross settlement'. the rtgs system is a funds transfer mechanism where transfer of money takes place from one bank to another on a 'real time' and on a 'gross' basis. this is the fastest possible money transfer system through banking channels. 'real time' means no waiting period; transactions are settled as soon as they are processed. 'gross settlement' means the transaction is finalized on its own, without it being bunched with any other transaction. view more",fundstransfer
are there minimum or maximum limits for rtgs transfers,"the rtgs system has been designed for large value transactions. the minimum amount to be remitted through rtgs is rs. 2 lakhs. there is no upper ceiling for rtgs transactions. the only change to this is rtgs transactions done through netbanking, when the maximum amount of funds that can be transferred per customer id per day is rs. 10 lakhs. view more",fundstransfer
what information do i need to provide when using the rtgs funds transfer service,"when using rtgs funds transfers, there are a few essential details to provide: amount to be remitted account number from where the funds will be debited name of the beneficiary bank, and the name of the beneficiary customer account number of the beneficiary customer sender to receiver information, if there is one the ifsc code of the receiving branch view more",fundstransfer
what are the charges for the rtgs funds transfer service,"effective 15 november, 2010; rtgs transactions on netbanking are charged as below : rs. 2 lac to rs. 5 lac - rs. 25 (inclusive of taxes) per transaction above rs. 5 lac - rs. 50 (inclusive of taxes) per transaction note: rtgs transfers can be done for amounts exceeding rs. 2,00,000 only whereas for neft there are no such amount restrictions.",fundstransfer
how long does it take for funds to be transferred from one account to another,real-time means that beneficiary branches are expected to receive the funds as soon as they are transferred by the remitting bank. the beneficiary bank must credit the beneficiary's account within 30 minutes of receiving the funds transfer message.,fundstransfer
"if the money is not credited successfully, will the remitting customer get the funds back","with rtgs, the receiving bank should credit the account of the beneficiary instantly. if for some reason the money cannot be credited, the receiving bank has to return the money to the remitting bank within 1 hour. as soon as the money is returned, the original debit entry in the customer's account is reversed.",fundstransfer
what do you mean by exclusions under the accidental protection plan - hospital cash,exclusions are situations or conditions where m&n  ergo is not liable to pay the benefits to the insured person in the event of an accident.,insurance
can i include my spouse in this the accidental protection plan - hospital cash policy,"yes, you can include your spouse and up to 2 children in the policy.",insurance
how do i make a claim,"you can make a claim by calling our toll-free number 1800-226-226 (mtnl or bsnl) or 1800-2-700-700 (any line) or 022 6638 4800 (local/std charges apply). we will then assist you with the submission of the documents required and the process will be completed within 7 working days, once all the required documents are submitted.",insurance
when does my revive policy for personal accident start,it will commence within 15 days from the date of receipt of the form and premium payment.,insurance
what plans are available under  the revive policy for personal accident,"m&n  ergo offers a wide range of sums insured ranging from rs. 2.5 lakhs to rs. 15 lakhs, with four plan options to choose from: self plan self and family plan self + dependent parents add-on self and family + dependent parents add-on",insurance
what benefit do i get from the revive policy for personal accident if i break my bones,"you get 10% of the sum insured up to rs. 50,000 (for dependent parents) if you break your bones in an accident.",insurance
is there an age limit to buy an  accidental protection plan - hospital cash policy,we can insure anyone between the age of 18 and 69 years.,insurance
who can be a beneficiary under the accidental protection plan - hospital cash,a beneficiary can be any member of your family.,insurance
how do i renew my accidental protection plan - hospital cash policy,we will send you renewal reminders. the number of days in advance the reminder is sent depends on the pay plan you have opted for. pay plan break up: cheque â€“ 45 days credit card â€“ 60 days view more,insurance
will i get a renewed revive policy for personal accident policy,"yes, you will receive a renewed policy.",insurance
what is the definition of a dependent child,"a dependent child is an unmarried child between the age of 3 months and 18 years, or up to 21 years if in full time education, residing with the insured person.",insurance
does  the accidental protection plan - hospital cash policy cover natural death and daily sickness as well,this policy only covers accidental death.,insurance
does this the revive policy for personal accident cover natural death and daily sickness,this policy only covers accidental death.,insurance
what benefit do i get from the accidental protection plan - hospital cash policy if i break my bones,"you will be paid up to rs. 50,000 if you break your bones in an accident.",insurance
how do i make my premium payments for my accidental protection plan - hospital cash policy,"this is an annual policy where the premium can be made online via credit card, netbanking or cheque.",insurance
what is an accident,"an accident is any sudden or unexpected event, which leads to permanent physical disability or accidental death.",insurance
when does my accidental protection plan - hospital cash policy start,your policy will commence within 15 days from the date of receipt of the form and premium payment.,insurance
does  the accidental protection plan - hospital cash policy have a hospital cash benefit,"yes hospital cash provides a benefit of rs. 1,000 for every day up to a maximum of 30 days in case of hospitalization due to an accident.",insurance
what is the cancellation procedure,"the policy can be cancelled with a notice period of 30 days. the premium paid by you will be returned on a pro-rata basis or 25% of the annual premium, whichever is higher will be retained. any cancellation request sent after 30 days of commencement of the policy will be refunded on a pro-rata basis.",insurance
does this the revive policy for personal accident have hospital cash benefit,"yes, hospital cash provides a benefit of rs. 250 every day up to a maximum of 30 days in case of hospitalization due to an accident.",insurance
what do you mean by exclusions under the revive policy for personal accident,exclusions are situations or conditions where in m&n  ergo is not liable to pay the benefits to the insured person in the event of an accident.,insurance
how many members can be included under the family plan of the revive policy for personal accident,you can include your spouse and up to 2 children under the family plan.,insurance
is there an age limit to opt for a revive policy for personal accident,a revive policy is open to anyone between the age of 18 and 65 years.,insurance
why should i purchase critical illness insurance,critical illness insurance provides you and your family with additional financial security on the diagnosis of a critical illness. the policy provides a lump sum amount which could be used for: cost of care and treatment recuperation aids pay off of debts any loss in income owing to a decrease in ability to earn view more,insurance
what is critical illness insurance,critical illness insurance is a policy that pays out a lump sum amount up to the sum insured upon diagnosis of a critical illness covered under the policy.,insurance
can i make multiple claims for the same or any other listed critical illness,"no, you can make only one claim during the lifetime of the policy.",insurance
what is meant by disease under the critical illness - platinum plan,"disease is a pathological condition of a part, organ or system resulting from various causes such as infection, pathological process or environmental stress and characterized by an identifiable group of signs or symptoms.",insurance
what are the available plans under the critical illness policy,"you can choose to be insured for any of the following amounts: rs. 2,50,000, rs. 5,00,000, rs.7,50,000 or rs. 10,00,000.",insurance
who do i contact in the case of a claim under the critical illness policy,"in the case of a claim under the policy, you should immediately intimate us on our helpline number. on receipt of the intimation, we will register the claim and assign a unique claim reference number which will be communicated to the insured and may be used for all future correspondence.",insurance
what are the benefits under  the critical illness - platinum plan,"the company will pay the sum insured as a lump sum on the first diagnosis of any one of the following critical illnesses, provided that the insured person survives a period of 30 days from the date of the first diagnosis. the following critical illnesses are covered under our plan: heart attack (myocardial infarction ) coronary artery bypass surgery stroke cancer kidney failure major organ transplant multiple sclerosis paralysis view more",insurance
what is a benefit policy,"under a benefit policy the insurance company pays the policy holder a lump sum amount, on the occurrence of an insured event.",insurance
what are the medical tests that i need to undergo to enrol myself for the  - platinum plan policy,no pre-policy medical check up is required for individuals up to the age of 45 years.,insurance
what documents are required at the time of a claim,the insured shall arrange for submission of the following documents required to process a claim within 45 days from the date of intimation. duly completed claim form original discharge summary consultation note/ relevant treatment papers all relevant medical reports along with supporting invoices and doctors requisition advising the same original and final hospitalization bills with detailed break-up pharmacy bills along with prescriptions any other documents as may be required by the company on receipt of the claim documents the claim will be processed in accordance with the terms and conditions of the policy. view more,insurance
how do i make a claim under the accidental protection plan - hospital cash policy,"you can make a claim by calling our toll-free number 1800-226-226 (mtnl or bsnl) or 1800-2-700-700 (any line) or 022 6638 4800 (local/std charges apply). we will then assist you with the submission of the required documents and the process will be completed within 7 working days, once all the required documents are submitted.",insurance
what do you mean by pre-existing diseases not covered under the critical illness plan,"a pre-existing disease is any condition, ailment, injury or related condition for which the insured person had signs or symptoms and/or was diagnosed and/or received medical advice or treatment prior to the first policy with the company",insurance
is there any tax exemption under the health suraksha policy,"yes, you can avail up to rs. 15,000 as tax benefit under 'section 80d'. in case you are a senior citizen, you can avail up to rs. 20,000 as tax benefit under 'section 80d'. subject to changes in tax laws",insurance
is there any eligibility criterion to purchase this the critical illness policy,a critical illness policy covers individuals in the age group of 5 years to 45 years. children between 5 years and 18 years will be covered only when both the parents are also insured under the policy.,insurance
are there any eligibility criteria to purchase this the critical illness - platinum plan,a critical illness policy covers individuals in the age group of 5 years to 45 years. children between 5 and 18 years will be covered only if both parents are also insured under the policy.,insurance
what is critical illness insurance,"critical illness insurance is a policy that pays out a lump sum under â€˜section 80dâ€™. in the case of senior citizens you can avail up to rs. 20,000 as tax benefit under â€˜section 80dâ€™.",insurance
why should i buy critical illness insurance,critical illness insurance provides you and your family additional financial security on the diagnosis of a critical illness. the policy provides a lump sum amount which could be used for: cost of care and treatment recuperation aid debts pay off any lost in income due to a decrease in ability to work view more,insurance
who do i contact in the case of a claim under the critical illness - platinum plan,"in the case of a claim under the policy, you should immediately intimate us on our helpline numbers.",insurance
what do you mean by pre-existing diseases not covered under the critical illness - platinum plan,"a pre-existing disease is any condition, ailment, injury or related condition for which the insured person had signs or symptoms and/or was diagnosed and/or received medical advice or treatment prior to the first policy with the company.",insurance
what is cumulative bonus,"cumulative bonus is an increase in the sum insured by a specified percentage of every claim free year subject to a certain maximum, provided that the policy is renewed without any break. under the health suraksha policy, you can avail a 5% cumulative bonus for every claim free year upto 50% of si..",insurance
what is meant by day care procedures,day care procedures are the medical procedures/surgeries wherein the person does not need to be hospitalised for more than 24 hours due to technological advancement.,insurance
what are pre and post hospitalisation expenses,"pre-hospitalisation expenses means medical expenses incurred for a specified number of days prior to hospitalisation for any disease, illness or injury sustained which is covered under the policy. post-hospitalisation expenses means medical expenses incurred for a specified number of days after discharge from the hospital. in 'health suraksha' the pre-hospitalisation period is 60 days while the post-hospitalisation period is 90 days.",insurance
what are the benefits of a health card,"a health card mentions the contact details and contact numbers of the tpa. in case of a medical emergency, you can call these numbers for queries, clarifications or to seek any kind of assistance. moreover, you need to display your health card at the time of admission into the hospital.",insurance
do i need to pay for hospitalisation,"if you are admitted in any of our network hospitals, you can avail a cashless facility. we will directly reimburse all the admissible expenses to the hospital. however, in case of non-network hospitals you will have to settle hospital bills at the time of discharge and consequently, the same will be reimbursed to you by us.",insurance
what are the medical tests that i need to undergo to enrol myself for  the critical illness policy,no pre-policy medical check up is required for anyone up to the age of 45 years.,insurance
what is family floater and what are its features,"family floater is a policy wherein the entire family of the insured comprising of the insured and his/her dependents, are covered under a single sum insured. the advantages of such a policy are: all member of the family (as defined above) can be covered under one policy. a single premium is payable for the entire family the amount of the sum insured floats over the entire family, i.e. the limit can be used by any member of the family, any number of times. you do not have to keep track of renewals for different members. just a single renewal date has to be remembered. view more",insurance
what is meant by disease,"disease means a pathological condition of a part, organ or system resulting from various causes such as infection, pathological process or environmental stress and characterised by an identifiable group of signs or symptoms.",insurance
what are domiciliary hospitalisation expenses under the health suraksha policy,"domiciliary hospitalisation means medical treatment for a period exceeding 3 days for such illness, disease or injury which in the normal course would require care and treatment at a hospital/nursing home but is actually taken while confined at home in india, but only under the following circumstances: the condition of the patient is such that he/she cannot be taken to the hospital/nursing home the patient cannot be taken to the hospital/nursing home as a result of lack of accommodation therein view more",insurance
what is meant by network hospitals,"these are hospitals that form part of the company's network (part of the company's tie-up list). for a complete list of network hospitals, log on to our website www.m&n ergo.com",insurance
are there any special discounts available under the health suraksha policy,"the policy provides a family discount of 10%, if 3 or more family members are covered under a single policy on an individual sum insured basis.",insurance
what do you mean by pre-existing diseases,"any condition, ailment, injury of related condition(s) for which the insured person has had signs or symptoms and/or was diagnosed and/or has received medical advice/treatment within 48 months prior to the insuredâ€™s first policy with the company.",insurance
what is a hospital/nursing home,"a hospital/nursing home means an establishment which: is registered as such with a local authority and is under the supervision of a registered and qualified medical practitioner and operates for the reception, care and treatment of sick, ailing or injured persons as inpatients provides organized facilities for diagnosis and medical and surgical treatment at all times; and is not primarily a day clinic, rest or convalescent home or similar establishment and is not, other than incidentally, a place for the treatment of alcoholics or drug addicts or a rehabilitation centre;or has a fully equipped operation theatre of its own wherever surgical operations are carried out provides nursing care and has a physician or a staff of physicians actually on the premises at all times at least 10 in-patient beds at all times view more",insurance
are all health suraksha policy holders eligible for a health card,"yes, all policy holders are eligible for a health card as it is an important component of the policy.",insurance
why do i need health insurance,health insurance will protect you and your family against any financial contingency arising due to a medical emergency.,insurance
what is covered under the ayush benefit,"under the ayush benefit expenses are reimbursed for in-patient treatment taken under ayurveda, unani, sidha or homeopathy.",insurance
what are the benefits under  the health suraksha policy,"health suraksha offers optimum health coverage at affordable prices. the plan not only covers hospitalisation expenses due to accidents or illness but also extends to cover pre and post hospitalisation expenses, day care procedures, domiciliary treatment, organ donor expenses, emergency ambulance and ayush benefit.",insurance
what is an injury or injuries,"injury or injuries means any physical, external or accidental bodily injury occurring suddenly in time and resulting solely and independently of any other cause or any physical defect or infirmity existing before the period of insurance.",insurance
what is meant by non-network hospitals,"these hospitals do not form part of the companyâ€™s tie-up list. the bills are settled by the insured and the relevant documents and bills are subsequently submitted to the tpa. the amount consequently, is reimbursed to the insured.",insurance
what is meant by organ donor expense,organ donor expenses are all the hospitalisation expenses incurred by the donor for the donation of an organ (excluding the cost of the organ) to the insured during the course of an organ transplant.,insurance
who do i contact to submit a claim under health suraksha policy in case of hospitalisation,"for hospitalization /claim, customer can contact via call: 1800 200 1999 / 1860 2000 700 fax: 1860 2000 600 email: [email protected] through ipo: login to insurance portfolio organizer (ipo) from m&n  ergo website home page",insurance
what are the plans available under this policy,"you can insure yourself for rs. 3 lakhs, rs. 4 lakhs or rs. 5 lakhs. you can choose from any of the four plans mentioned below: 1 adult 2 adults 2 adults and 1 child 2 adults and 2 children the policy offers the option to cover on an individual sum insured basis or a family floater basis. view more",insurance
is there any eligibility criterion to purchase this the health suraksha policy,a health suraksha policy is open to individuals from the age of 3 months to 65 years. there is no entry age limit unlike other policies,insurance
what is the benefit of broken bones under this policy,"pays 10 % of sum insured upto 50,000(for dependent parents), if an accident results in broken bones",insurance
how do i make a claim,"you can make a claim by calling our toll free number 1800-226-226 (mtnl or bsnl line) or 1800-2-700-700 (any line) or 022 66384800 ( local / std charges apply). we will then assist you with the submission of the documents required and the process will be completed within 7 working days, once all the required documents are submitted.",insurance
how do i renew my policy,we will send you renewal reminders. the number of days advance reminder depends upon the pay plan opted for.payplansbreakup : cheque-45dayscredit card â€“ 60 days,insurance
will my accident policy cover me even if i am out of the country,yes the accident policy will cover you even if you are out of the country. the sum insured will be paid to you in indian rupees in case of a claim i.e. the claim will be paid out in india only,insurance
does this policy have hospital cash benefit,"yes, depending on the plan selected hospital cash provides a benefit up to rs. 500 everyday upto a maximum of 45 days in case of hospitalization due to an accident.",insurance
does this policy cover natural death and daily sickness also,this policy only covers accidental death.,insurance
what is the definition of a dependent child,dependent child means an unmarried dependent child residing with the insured person between the age of 3 months and up to 18 years or up to the age of 21 if in full time education.,insurance
who can be the beneficiary,the beneficiary could be any member of your family.,insurance
how many members can be included under the family plan,you can include your spouse as well as two dependent children under the family plan.,insurance
what kind of documentation is required,the best part of this policy is that it has hassle free documentation. all you need to do is fill the complete proposal form with relevant details and sign it .tick any one plan and attach a cheque or fill the credit card details in the form.,insurance
what do you mean by exclusions,exclusions are situations or conditions where in m&n  ergo is not liable to pay the benefits to the insured person in the event of an accident.,insurance
when does my policy start,this will be commenced within 15 days from the date of receipt of form & premium payment,insurance
is there an age limit for opting individual personal accident plan 2 policy,it is open to everyone from the age of 18 years to 65 years.,insurance
what are the benefits payable under this policy,"now you can protect your entire family with individual personal accident plan 2 against accidental injuries. the policy provides the benefits to you and your family, for accidental death, permanent disability, broken bones, burns due to an accident. it also provides benefit of ambulance cost and hospital cash.",insurance
how do i make my premium payments,"this is an annual policy, where the premium can be made via credit card or cheque",insurance
can i include my parents in this policy,"yes, you can include your dependent parents up to 70 years. the plan provides add on benefits for your dependent parents with an affordable flat rate. now you can give back a small measure of the love and concern they showed for you.",insurance
what kind of benefits is my spouse and children entitled to,"100% of the sum insured in case of accidental death, permanent disability, broken bones, burns,hospital cash of the spouse & 10% of the sum insured in case of accidental death or permanent disability of the children.",insurance
what are the available plans with under this policy,"m&n  ergo offers you a wide range of sum insured, from rs. 2.5 lakh to 15 lakh with four plan options to choose.self planself & family planself + dependent parents add-onself & family plan + dependent parents add-on",insurance
will i get a renewed policy,"yes, you shall receive the renewed policy",insurance
what is the cancellation procedure,the policy can be cancelled with a notice period of 30 days. the premium paid by you will be returned on a pro-rata basis or 25% of the annual premium whichever is higher would be retained. any cancellation request sent after 30 days of the commencement of the policy will be refunded on pro - rata basis.,insurance
how do i make my premium payments,"this is an annual policy, where the premium can be made online via credit card/netbanking or cheque",insurance
what is an accident,"accident or accidental means a sudden, unforeseen and involuntary event caused by external, visible & violent means",insurance
can i include my parents in this policy,"yes, you can include your dependent parents up to 65 years. the plan provides add on benefits for your dependent parents with an affordable flat rate. now you can give back a small measure of the love and concern they showed for you.",insurance
how do i renew my policy,we will send you renewal reminders. the number of days advance reminder depends upon the pay plan opted for. payplansbreakup : cheque-45days credit card â€“ 60 days,insurance
what is an accident,"accidentmeans a sudden, unforeseen and involuntary event caused by external, visible & violent means.",insurance
how do i make my premium payments,"this is an annual policy, where the premium can be made via credit card or cheque.",insurance
is there an age limit for opting m&n  ergo personal accident insurance policy,personal accident insurance is open to everyone from the age of 18 years to 65 years.,insurance
till what age the m&n  ergo personal accident insurance policy can be renewed,personal accident insurance policy can be renewed for life long,insurance
does this policy cover natural death and daily sickness also,this policy only covers accidental death.,insurance
will my accident policy cover me even if i am out of the country,yes the accident policy will cover you even if you are out of the country. the sum insured will be paid to you in indian rupees in case of a claim i.e. the claim will be paid out in india only.,insurance
